nest_ID,male_id,male_age,female_id,female_age,Site,NGR,Ref,find.date,fledge.date,year,obs.period,expo,outcome,outcome.1,clutch,chicks,fledged,brood,comments,Nest.found,x,y,altitude,Notes,Predated,distance_to_nearest_track,track50,track100,track150,track200,density_of_tracks,Ycons,tandc,exp,nest_age_atLoc,julian.day.find,julian.day.nest.initiation,julian.day.1,age.day.1,jdayinit,month,week
51,,,LJ17192,4,Brechfa,,4.1,20/07/2015,,2015,5,22,f,0,2,2,0,1,"nest empty, very little in the way of droppings suggesting a failure",,248498,231142,310.3,,0,52,0,1,1,1,,0,0,22,22,201,179,151,-28,179,6,26
52,LJ17172,5,,,Brechfa,,8.2,30/07/2015,,2015,6,5,f,0,2,2,0,2,"2 chicks, DO",,248845,234342,345.5,,0,100,0,1,1,1,,0,0,5,21,211,190,151,-39,190,7,27
53,,,,,Brechfa,,8.1,18/07/2015,,2015,0,19,s,1,1,1,1,1,"Empty, 1 eggshell, one set of droppings",,249122,235100,363.4,,0,290,0,0,0,0,,0,0,19,36,199,163,151,-12,163,6,23
54,,,LE43224,,Clocaenog,SJ0081154328,Carnedd Ci ,09/06/2016,,2016,,28,s,1,2,2,2,1,1st brood,yes,300811,354328,445.9,,,165,0,0,0,1,,0,0,28,8,161,153,152,-1,153,6,22
55,,,LE43224,,Clocaenog,SJ0100454449,Carnedd Ci ,14/07/2016,,2016,,2,s,1,2,2,2,2,2nd brood,yes,301004,354449,445.4,,,68,0,1,1,1,,0,0,2,8,196,188,152,-36,188,7,27
56,,,LH76861,,Clocaenog,SH9861255523,Cefn Hafod Lom North,20/06/2016,,2016,,14,s,1,2,2,2,NA,,yes,298612,355523,418.7,,,37,1,1,1,1,,0,0,14,3,172,169,152,-17,169,6,24
57,,,,,Clocaenog,SH9840355176,Cefn Hafon Lom South,20/06/2016,,2016,,10,s,1,2,2,2,NA,,yes,298403,355176,432.4,,,70,0,1,1,1,,0,0,10,12,172,160,152,-8,160,6,23
58,,,,,Clocaenog,SJ0201853920,Llyfarduu,31/07/2016,,2016,,4,s,1,2,2,2,1,1st brood,yes,302018,353920,415,,,51,0,1,1,1,,0,0,4,36,213,177,152,-25,177,6,25
59,,,,,PyC,SS8257998481,T6,16/06/2016,,2016,,0,s,1,2,2,1,NA,,yes,282579,198481,302.8,,0,101,0,0,1,1,,1,1,NA,2,168,166,152,-14,166,6,24
60,,,,,Brechfa,,2.1,07/06/2016,,2016,20,27,f,0,2,2,0,1,,yes,248175.2,233635.2,345.1,clearing 18 - territoy no. 4,0,207,0,0,0,0,,0,0,27,14,159,145,152,7,145,5,21
